TABLE_NAME,ENGINE,VERSION,ROW_FORMAT,TABLE_ROWS,AVG_ROW_LENGTH,DATA_LENGTH,MAX_DATA_LENGTH,INDEX_LENGTH,DATA_FREE,AUTO_INCREMENT,CREATE_TIME,UPDATE_TIME,CHECK_TIME,TABLE_COLLATION,CHECKSUM,CREATE_OPTIONS,TABLE_COMMENT
Catalogo_Moneda_Tienda,InnoDB,10,Dynamic,0,0,16384,0,49152,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
Catalogo_Pintura_Tienda,InnoDB,10,Dynamic,0,0,16384,0,32768,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
Lista_Objetos,InnoDB,10,Dynamic,0,0,16384,0,65536,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
M_A,InnoDB,10,Dynamic,0,0,16384,0,16384,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
P_A,InnoDB,10,Dynamic,0,0,16384,0,16384,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
artistas,InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
clientes,InnoDB,10,Dynamic,0,0,16384,0,49152,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
coleccionistas,InnoDB,10,Dynamic,0,0,16384,0,65536,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
contactos,InnoDB,10,Dynamic,0,0,16384,0,49152,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
costoEnvios,InnoDB,10,Dynamic,0,0,16384,0,32768,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
detFacturas,InnoDB,10,Dynamic,0,0,16384,0,32768,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
divisas,InnoDB,10,Dynamic,0,0,16384,0,32768,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
eventos,InnoDB,10,Dynamic,0,0,16384,0,16384,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
facturas,InnoDB,10,Dynamic,0,0,16384,0,16384,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
monedas,InnoDB,10,Dynamic,0,0,16384,0,32768,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
organizaciones,InnoDB,10,Dynamic,0,0,16384,0,65536,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
paises,InnoDB,10,Dynamic,0,0,16384,0,32768,0,1,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
participantes,InnoDB,10,Dynamic,0,0,16384,0,32768,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
planificadores,InnoDB,10,Dynamic,0,0,16384,0,16384,0,NULL,"2021-07-10 11:32:31",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
